Vitamins,Cod liver oil,IVIG,Fluids,floravit iron,Ambien CR,Soluble Aspirin,pur-absorb iron,Vitamin D3,Prednisone,Zantac,Buspirone,DLPA,Psyllium husk,Vitamin b complex,Aloe Detox Water,Excedrin,Physiotherapy,Magnesium,Panamax,THC,Turmeric,Allegra,Fish oil,Rest,Post-op ice device,Standing desk,Valdoxan,Language Learning,ASMR,Coffee,Strattera,Medical Marijuana,Zofran,Hydroxyzine,meds,SPD alternative treatments,Pet Therapy,Astelin,breathing exercises,Vitamin B,Vitamin B complex - 50,linseed,Melatonin,Vitamin C,Klonopin,Medication,CBD,Voltaren,Vitamin b12,Tian Ma Tou Tong - headache,Ice pack,massage,Norco,physical therapy,Vyvanse,Eyebright Complex,Extra Medications,Creatine,Therapy,Weather- rain,Valium,Ligament Restore,Zoladex,Multivitamin,Mirtazapine,Pain management,stool softener,Zinc,Ibuprofen,Meditation,TENS Unit,Alcohol,Migraine Diet,Sunlight,Magnesium glycinate,5-htp,Nasonex,Ecural,Vitamin a,eye ointment,Daily walk,Exercise--walking,Famotidine,strapping of shoulder,Ventolin,Vitamin d,Codeine,Claritin,Progesterone,Spironolactone,Essential oils,heating pads,Iron,Ondansetron,Pataday,Singulair,Wei Te Ling - heartburn,row
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Pain management
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,stool softener
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Zinc
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Ibuprofen
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,Meditation
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,TENS Unit
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,,,,,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,Alcohol
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Migraine Diet
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,Sunlight
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Magnesium glycinate
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,5-htp
,,,,0.0,2.0,2.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,,,0.0,,0.733762640401,2.0,2.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,,,0.0,2.0,0.0,0.0810725803628,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,Nasonex
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Ecural
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Vitamin a
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,,,,2.0,0.0,,2.0,,2.0,,,,0.0,,,,2.0,,eye ointment
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,Daily walk
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,Exercise--walking
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,,2.0,,0.0,,0.0,,,,2.0,,,,0.0,,Famotidine
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,,,2.0,,2.0,,,,0.0,,,,2.0,,strapping of shoulder
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Ventolin
,,,,0.0,2.0,2.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,,,0.0,,1.13553801481,2.0,2.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,2.0,0.0,0.0,0.0810725803628,0.0,0.0,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,Vitamin d
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,Codeine
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,,,,,2.0,,,,0.0,,Claritin
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,Progesterone
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,Spironolactone
0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,2.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,2.0,,,,,,2.0,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,Essential oils
,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,,,,2.0,2.0,0.0,,0.0,,2.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,,,,,2.0,,heating pads
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,Iron
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,Ondansetron
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,Pataday
,,,,,2.0,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,0.0,,,,,0.0,0.0,2.0,,2.0,,0.0,,2.0,,2.0,2.0,,,,,,,,,,,,,2.0,0.0,,,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,2.0,,0.0,,0.0,,,,2.0,,,,,,Singulair
,,,,0.0,,2.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,Wei Te Ling - heartburn
